month,year,avg_VWC,Period
1,1925,11.839339840886895,Historical
1,1926,17.407299853261925,Historical
1,1927,20.21825001951429,Historical
1,1928,19.773510868654153,Historical
1,1929,12.62373893307373,Historical
1,1930,11.696422838076924,Historical
1,1931,18.755643761646606,Historical
1,1932,9.309484918571103,Historical
1,1933,9.49949636042495,Historical
1,1934,21.33736096527127,Historical
1,1935,22.044170097229685,Historical
1,1936,17.720158374210254,Historical
1,1937,8.953784982171664,Historical
1,1938,16.586853636541125,Historical
1,1939,18.136152799968997,Historical
1,1940,8.908757757739838,Historical
1,1941,19.607640108065112,Historical
1,1942,19.23512414231253,Historical
1,1943,14.140312689897565,Historical
1,1944,19.504091263446927,Historical
1,1945,20.19230690790294,Historical
1,1946,8.712109070791058,Historical
1,1947,22.893828214340143,Historical
1,1948,10.522315922663815,Historical
1,1949,9.791400358041482,Historical
1,1950,15.797324185270785,Historical
1,1951,11.825291194031093,Historical
1,1952,11.191464165074601,Historical
1,1953,9.611359954746375,Historical
1,1954,9.318074742240862,Historical
1,1955,16.45690807792016,Historical
1,1956,23.710386144662806,Historical
1,1957,19.103481971030618,Historical
1,1958,13.190928943470924,not monitored
1,1959,9.640298328564171,not monitored
1,1960,9.003456653114702,not monitored
1,1961,18.191060770285887,not monitored
1,1962,19.38459393766413,not monitored
1,1963,10.795758562232113,not monitored
1,1964,14.798509456753957,not monitored
1,1965,22.728033867983054,not monitored
1,1966,19.06119856486868,not monitored
1,1967,18.284107326401262,not monitored
1,1968,14.863695709133012,not monitored
1,1969,22.72010637119576,not monitored
1,1970,21.110821088884812,not monitored
1,1971,19.222658769318762,not monitored
1,1972,10.853189794962242,not monitored
1,1973,19.73052012309802,not monitored
1,1974,16.94824729959892,not monitored
1,1975,19.639523963221322,not monitored
1,1976,12.75823137860677,not monitored
1,1977,9.272883947685807,not monitored
1,1978,17.521527950132267,not monitored
1,1979,8.929499463686575,not monitored
1,1980,14.214822605101055,not monitored
1,1981,17.24646157839457,not monitored
1,1982,22.109416941434517,not monitored
1,1983,23.2033182883926,not monitored
1,1984,20.192989234330177,not monitored
1,1985,13.357444021340426,not monitored
1,1986,9.167845292608767,not monitored
1,1987,12.10859985701072,not monitored
1,1988,19.898028805037303,not monitored
1,1989,13.904487818839918,not monitored
1,1990,13.103252428998761,not monitored
1,1991,16.451348382299603,not monitored
