year,Group,QuadName,quad,cov.ARTR,cov.HECO,cov.POSE,cov.PSSP,Treatment,Period,Gcov.ARTR,Gcov.HECO,Gcov.POSE,Gcov.PSSP,Treatment2,Treatment3,species,Y
1926,P1E1,P1 E1 Q2,Q8,66.9973185134693,336.745282225893,392.021542205062,232.178691147728,Control,Historical,66.9973185134693,336.745282225893,392.021542205062,232.178691147728,Control,Control,ARTR,0
1926,P7E1,P7 E1 Q1,Q19,25.1845991133206,0,69.3500073326453,654.81760125563,Control,Historical,34.78668941329855,160.4365315997835,39.642675096055406,838.6604547176651,Control,Control,ARTR,1
1926,P7E1,P7 E1 Q2,Q20,44.3887797132765,320.873063199567,9.93534285946551,1022.5033081797,Control,Historical,34.78668941329855,160.4365315997835,39.642675096055406,838.6604547176651,Control,Control,ARTR,0
1929,P1E1,P1 E1 Q1,Q7,173.702045192936,194.114184693479,55.8332226630708,243.193995426115,Control,Historical,221.4692469925385,237.887814612153,79.55215209899589,244.275042436239,Control,Control,ARTR,0
1929,P1E1,P1 E1 Q2,Q8,269.236448792141,281.661444530827,103.271081534921,245.356089446363,Control,Historical,221.4692469925385,237.887814612153,79.55215209899589,244.275042436239,Control,Control,ARTR,0
1929,P7E1,P7 E1 Q1,Q19,0.25,0,22.4023242842532,307.062276204244,Control,Historical,184.72739804681,35.8543032168497,21.275848420920703,369.079623485013,Control,Control,ARTR,0
1929,P7E1,P7 E1 Q2,Q20,369.20479609362,71.7086064336994,20.1493725575882,431.096970765782,Control,Historical,184.72739804681,35.8543032168497,21.275848420920703,369.079623485013,Control,Control,ARTR,0
1930,P1,P1 Q1,Q11,9.4602559251676,126.791471735742,19.1684225183006,133.550464754582,Control,Historical,42.262145796666275,34.721594362653974,9.203701490719258,392.37630584170375,Control,Control,ARTR,1
1930,P1,P1 Q3,Q13,12.2349782283768,12.0949057148739,9.40469688218302,742.952029660112,Control,Historical,42.262145796666275,34.721594362653974,9.203701490719258,392.37630584170375,Control,Control,ARTR,0
1930,P1,P1 Q2,Q12,14.5119498107657,0,0.467581197706075,336.994364193152,Control,Historical,42.262145796666275,34.721594362653974,9.203701490719258,392.37630584170375,Control,Control,ARTR,0
